4.544748469117541845e+01,8.092190781754570850e+00
4.491389721538436675e+01,8.045055349426515789e+00
4.438833967264906732e+01,8.009237690379723773e+00
4.386990917148079916e+01,7.984500869830387870e+00
4.335776321534942213e+01,7.970572329611581353e+00
4.285111745233783154e+01,7.967146267649216185e+00
4.234924346232211434e+01,7.973885967763049365e+00
4.185146658167724354e+01,7.990426079792765535e+00
4.135716376550840323e+01,8.016374850049235334e+00
4.086576148740805081e+01,8.051316302090807397e+00
4.037673367673843217e+01,8.094812367824797406e+00
3.988959969343985534e+01,8.146404968933889990e+00
3.940392234036454511e+01,8.205618048627872696e+00
3.891930591313612098e+01,8.271959553720325431e+00
3.843539428753467035e+01,8.344923367030428807e+00
3.795186904440753750e+01,8.423991190109905602e+00
3.746844763210562235e+01,8.508634376295066915e+00
3.698488156644540936e+01,8.598315714083927475e+00
3.650095466819654888e+01,8.692491160838425657e+00
3.601648133809505481e+01,8.790611526811769494e+00
3.553130486938226795e+01,8.892124109500894491e+00
3.504529579786920124e+01,8.996474278323947971e+00
3.455835028952677845e+01,9.103107009622970480e+00
3.407038856560146201e+01,9.211468371991653470e+00
3.358135336525668180e+01,9.321006961928080869e+00
3.309120844573978104e+01,9.431175289812795626e+00
3.259993712007467082e+01,9.541431116211708030e+00
3.210754083227998024e+01,9.651238738504400061e+00
3.161403777011302907e+01,9.760070227837250201e+00
3.111946151533923199e+01,9.867406616401776631e+00
3.062385973152721164e+01,9.972739035038163280e+00
3.012729288936959904e+01,1.007556980116376977e+01
2.962983302952932974e+01,1.017541345702677447e+01
2.913156256301166280e+01,1.027179775828490094e+01
2.863257310906179498e+01,1.036426461290933432e+01
2.813296437058807342e+01,1.045237097041362873e+01
2.763284304711089590e+01,1.053568966140779750e+01
2.713232178523717053e+01,1.061381018747740157e+01
2.663151816666044525e+01,1.068633946138792012e+01
2.613055373368664647e+01,1.075290249761399153e+01
2.562955305228543068e+01,1.081314305319393654e+01
2.512864281266719502e+01,1.086672421890935070e+01
2.462795096738569356e+01,1.091332896078968062e+01
2.412760590696624163e+01,1.095266061194205420e+01
2.362773567305963240e+01,1.098444331470611601e+01
2.312846720912160237e+01,1.100842241313405268e+01
2.262992564861794520e+01,1.102436479579553819e+01
2.213223364075528110e+01,1.103205918890803972e+01
